PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626200,"Effectiveness of a Structured Educational Intervention on Parents' Knowledge, Perception, and Acceptance Towards Human Papillomavirus Vaccine.",2025,Poudel,,N/A
40626116,"Constructing A Conversation-First Dialogue Model for Comprehensive, Evidence-Based Counseling for HPV Vaccination for Young Adults.",2025,Tao,,N/A
40626035,Sepsis with Cancer is Marked by a Dysregulated Myeloid Cell Compartment: A Pilot Study.,2025,,,N/A
40626008,,2025,,"Department of Pharmacology, Guangdong Pharmaceutical University, Guangzhou, China.",N/A
40625850,Lung cancer vaccine strategies: exploring the spectrum from traditional to RNA-based platforms.,2025,,,N/A
40625753,Characterization of the clinical relevance and hypoallergenic peptides of the newly evidenced major allergen Hum j 1.,2025,,"Department of Pharmacy, The Affiliated Cancer Hospital of Nanjing Medical University and Jiangsu Cancer Hospital and Jiangsu Institute of Cancer Research, Nanjing, China.; Department of Pharmacy, The Affiliated Cancer Hospital of Nanjing Medical University and Jiangsu Cancer Hospital and Jiangsu Institute of Cancer Research, Nanjing, China.",N/A
40624835,"Drugging the 'undruggable' KRAS: breakthroughs, challenges, and opportunities in pancreatic cancer.",2025,,"Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.",N/A
40624498,"Advancing CAR-based cell therapies for solid tumours: challenges, therapeutic strategies, and perspectives.",2025,,"College of Pharmacy, Cihan University-Erbil, Erbil, Kurdistan Region, Iraq.",N/A
40623782,From immunotherapy to autoimmunity: reactive arthritis following intravesical BCG.,2025,,"Surgery, Prince Sattam bin Abdulaziz University, Al Kharj, Saudi Arabia.",N/A
40623606,Immunogenicity of neoantigens: From CAR-T cell to various vaccines.,2025,,"Department of Pharmacology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore 117600 Singapore. Electronic address: phcgs@nus.edu.sg.; Faculty of Health, Australian Research Centre in Complementary and Integrative Medicine, University of Technology Sydney, Ultimo, NSW 2007, Australia; Discipline of Pharmacy, Graduate School of Health, University of Technology Sydney, Ultimo, NSW 2007, Australia. Electronic address: kamal.dua@uts.edu.au.",N/A
40623549,Rapid impedance-based Antimicrobial Susceptibility Testing (iFAST) of Enterobacterales in urinary tract infections.,2025,Bock; Daniels; Dyball; Hind; Wand; Allen,"Antimicrobial Discovery, Development and Diagnostics, Vaccine Development and Evaluation Centre, UK Health Security Agency, Porton Down, Salisbury, Wiltshire, UK, SP4 0JG; Institute of Pharmaceutical Sciences, School of Cancer & Pharmaceutical Sciences King's College London, SE1 9NQ. Electronic address: mark.sutton@ukhsa.gov.uk.",N/A
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025,Barkauskas; Highbarger; Leither; Ardelt; Overcash; Taha; Vallee,,N/A
40622715,Multilevel Intervention and Human Papillomavirus Vaccination Disparities: A Secondary Analysis of a Cluster Randomized Trial.,2025,Kong; Finney Rutten; St Sauver; Jenkins; Griffin; Jacobson,,N/A
40622279,High Levels of Protection Against Acute and Chronic Toxoplasmosis in Institute of Cancer Research Mice with a Novel Low-Temperature Inactivated ,2025,Fu,,N/A
40621473,Research progress on the role of dendritic cells in glioma during 1992-2024: a bibliometric analysis.,2025,,,N/A
